epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,160.112,1.91463,0.88596,1.25579,0.83392,0.86658,0.87319,0.37811,1.9358,0.85323,1.38371,0.000784073,0.000784073,0.000784073
109,161.55,1.88119,0.90366,1.26128,0.81087,0.87102,0.86265,0.3617,1.88074,0.87765,1.34803,0.000775822,0.000775822,0.000775822
110,162.994,1.8516,0.86628,1.22993,0.7937,0.82739,0.85732,0.35888,2.06854,0.95064,1.4338,0.00076757,0.00076757,0.00076757
111,164.443,1.82131,0.86296,1.22686,0.79876,0.8781,0.8618,0.36969,1.99827,0.86824,1.39188,0.000759318,0.000759318,0.000759318
112,165.892,1.86833,0.86548,1.236,0.81913,0.85455,0.84934,0.38412,1.93676,0.8163,1.38436,0.000751067,0.000751067,0.000751067
113,167.333,1.86288,0.86766,1.23226,0.82001,0.85461,0.8608,0.37216,1.91606,0.81743,1.37704,0.000742815,0.000742815,0.000742815
114,168.776,1.84844,0.85769,1.20943,0.86166,0.8019,0.87351,0.35843,1.89315,0.82816,1.36402,0.000734564,0.000734564,0.000734564
115,170.228,1.84715,0.87047,1.2242,0.83822,0.79653,0.84386,0.36456,1.95719,0.84978,1.38284,0.000726312,0.000726312,0.000726312
116,171.673,1.86059,0.87091,1.22319,0.8108,0.80767,0.85321,0.37075,1.89468,0.83729,1.3696,0.00071806,0.00071806,0.00071806
117,173.128,1.84213,0.862,1.20061,0.82937,0.85125,0.872,0.36867,1.91715,0.83942,1.37798,0.000709809,0.000709809,0.000709809
118,174.571,1.82121,0.85072,1.22158,0.76978,0.91023,0.86198,0.36997,1.92253,0.82389,1.37414,0.000701557,0.000701557,0.000701557
119,176.055,1.8375,0.86183,1.20677,0.8061,0.84633,0.83349,0.34927,1.93445,0.8489,1.38036,0.000693305,0.000693305,0.000693305
120,177.51,1.83938,0.85346,1.22101,0.75346,0.83289,0.83007,0.35519,1.92143,0.8624,1.38681,0.000685054,0.000685054,0.000685054
121,178.95,1.8039,0.84633,1.21837,0.85001,0.76455,0.83143,0.3577,1.91861,0.82408,1.3888,0.000676802,0.000676802,0.000676802
122,180.392,1.84944,0.86907,1.22602,0.84153,0.77024,0.84553,0.36624,1.90547,0.82518,1.39074,0.00066855,0.00066855,0.00066855
123,181.847,1.86277,0.86735,1.22288,0.89268,0.7682,0.87201,0.37575,1.9105,0.80651,1.38379,0.000660299,0.000660299,0.000660299
124,183.297,1.81852,0.855,1.22147,0.80517,0.84619,0.87731,0.3716,1.87809,0.83234,1.36956,0.000652047,0.000652047,0.000652047
125,184.916,1.82194,0.86117,1.21462,0.8294,0.8721,0.88126,0.36896,1.9053,0.83232,1.38361,0.000643795,0.000643795,0.000643795
126,186.36,1.8297,0.83958,1.20773,0.83698,0.82846,0.83653,0.37432,1.97485,0.80723,1.42518,0.000635544,0.000635544,0.000635544
127,187.815,1.86194,0.8498,1.23686,0.80396,0.86819,0.87462,0.37829,1.92656,0.84455,1.37202,0.000627292,0.000627292,0.000627292
128,189.245,1.83019,0.86001,1.24249,0.79505,0.86074,0.87,0.36289,1.89298,0.81859,1.3574,0.00061904,0.00061904,0.00061904
129,190.691,1.81381,0.83776,1.21696,0.73948,0.88918,0.85194,0.36705,1.88628,0.82827,1.35681,0.000610789,0.000610789,0.000610789
130,192.122,1.80526,0.83502,1.21073,0.81851,0.80248,0.83058,0.3581,1.90885,0.81422,1.36567,0.000602537,0.000602537,0.000602537
131,193.573,1.80852,0.82899,1.22127,0.78004,0.84969,0.86211,0.35671,1.90083,0.78193,1.38148,0.000594286,0.000594286,0.000594286
132,195.013,1.83419,0.8401,1.20052,0.87249,0.79576,0.86204,0.38819,1.88599,0.80992,1.36747,0.000586034,0.000586034,0.000586034
133,196.454,1.81279,0.83995,1.22023,0.825,0.8326,0.86105,0.38483,1.90686,0.79826,1.37505,0.000577782,0.000577782,0.000577782
134,197.886,1.81114,0.83796,1.23062,0.85809,0.75089,0.85656,0.35726,1.92959,0.83461,1.377,0.000569531,0.000569531,0.000569531
135,199.343,1.79504,0.8308,1.21047,0.8617,0.79461,0.85237,0.38017,1.92501,0.80165,1.37415,0.000561279,0.000561279,0.000561279
136,200.794,1.80666,0.82688,1.20225,0.84565,0.7826,0.84863,0.37621,1.91014,0.7963,1.3727,0.000553027,0.000553027,0.000553027
137,202.231,1.7822,0.82849,1.2123,0.82587,0.79433,0.83498,0.36904,1.99277,0.81739,1.40378,0.000544776,0.000544776,0.000544776
138,203.679,1.79144,0.8192,1.18103,0.85859,0.80545,0.85372,0.39036,1.95809,0.79558,1.39509,0.000536524,0.000536524,0.000536524
139,205.139,1.80354,0.83059,1.19581,0.72575,0.89187,0.81637,0.37241,1.94993,0.8334,1.3856,0.000528272,0.000528272,0.000528272
140,206.592,1.80698,0.82551,1.20334,0.78184,0.75039,0.80237,0.34589,1.98505,0.84646,1.42782,0.000520021,0.000520021,0.000520021
141,208.03,1.79641,0.82066,1.19977,0.82131,0.78368,0.8494,0.37141,1.95825,0.81386,1.41259,0.000511769,0.000511769,0.000511769
142,209.478,1.79079,0.81124,1.20228,0.83699,0.80142,0.87649,0.37649,1.94164,0.81978,1.38825,0.000503517,0.000503517,0.000503517
143,210.948,1.7897,0.805,1.192,0.75866,0.84044,0.82894,0.37942,1.93272,0.81244,1.38354,0.000495266,0.000495266,0.000495266
144,212.408,1.75017,0.80949,1.18625,0.8432,0.82337,0.86521,0.38955,1.91479,0.81043,1.37704,0.000487014,0.000487014,0.000487014
145,213.862,1.76018,0.79159,1.19054,0.85278,0.79078,0.85179,0.37372,1.93679,0.81304,1.3917,0.000478762,0.000478762,0.000478762
146,215.312,1.77259,0.80494,1.19144,0.8407,0.82916,0.8517,0.37812,1.91035,0.79477,1.38825,0.000470511,0.000470511,0.000470511
147,216.769,1.74836,0.8014,1.18237,0.84027,0.79078,0.84685,0.3824,1.97208,0.79929,1.41171,0.000462259,0.000462259,0.000462259
148,218.224,1.76567,0.79855,1.18974,0.81844,0.7712,0.82878,0.3755,1.97204,0.80386,1.40328,0.000454007,0.000454007,0.000454007
149,219.687,1.77808,0.81125,1.18355,0.8229,0.7776,0.81956,0.36647,1.93471,0.81364,1.38268,0.000445756,0.000445756,0.000445756
150,221.134,1.74519,0.80116,1.18534,0.83706,0.81986,0.83796,0.36266,1.95437,0.78238,1.40619,0.000437504,0.000437504,0.000437504
151,222.582,1.77062,0.80725,1.20008,0.85546,0.8271,0.84408,0.37472,1.93369,0.78061,1.39028,0.000429253,0.000429253,0.000429253
152,224.023,1.75844,0.80068,1.19482,0.79661,0.788,0.81922,0.37057,1.96588,0.81021,1.40293,0.000421001,0.000421001,0.000421001
153,225.47,1.72629,0.78668,1.18195,0.79942,0.8555,0.84637,0.36924,1.92981,0.79683,1.40142,0.000412749,0.000412749,0.000412749
154,226.918,1.75169,0.79308,1.18084,0.74365,0.87633,0.82289,0.37547,1.92688,0.8163,1.40195,0.000404498,0.000404498,0.000404498
155,228.36,1.7526,0.78684,1.18412,0.80756,0.74866,0.83858,0.37737,1.94361,0.80349,1.40137,0.000396246,0.000396246,0.000396246
156,229.789,1.73593,0.78308,1.1775,0.77125,0.81993,0.85892,0.37986,1.92796,0.79175,1.38795,0.000387994,0.000387994,0.000387994
157,231.231,1.76536,0.7989,1.18907,0.83276,0.7697,0.83968,0.36911,2.01715,0.82172,1.42137,0.000379743,0.000379743,0.000379743
158,232.673,1.75785,0.78784,1.18273,0.8738,0.76729,0.85221,0.38637,1.92364,0.79207,1.37735,0.000371491,0.000371491,0.000371491
159,234.301,1.73885,0.78743,1.18281,0.81191,0.78322,0.82573,0.35804,1.99853,0.81021,1.41049,0.000363239,0.000363239,0.000363239
160,235.752,1.74146,0.80299,1.18197,0.81144,0.78236,0.8278,0.37005,1.97725,0.80153,1.40844,0.000354988,0.000354988,0.000354988
161,237.201,1.738,0.78333,1.18009,0.82646,0.78324,0.82428,0.36751,1.99727,0.78362,1.43959,0.000346736,0.000346736,0.000346736
162,238.638,1.73303,0.77211,1.1869,0.86682,0.80265,0.83575,0.36797,1.9469,0.78422,1.39939,0.000338484,0.000338484,0.000338484
163,240.081,1.72605,0.79544,1.19285,0.84085,0.78346,0.81475,0.36899,1.97315,0.77841,1.41956,0.000330233,0.000330233,0.000330233
164,241.528,1.69822,0.7711,1.1807,0.83772,0.77019,0.82272,0.37094,1.99379,0.78681,1.43595,0.000321981,0.000321981,0.000321981
165,242.957,1.72302,0.78711,1.17904,0.82021,0.77172,0.81768,0.36698,1.96936,0.78847,1.4142,0.000313729,0.000313729,0.000313729
166,244.385,1.72834,0.77623,1.19558,0.75102,0.82092,0.80281,0.3602,2.00963,0.79382,1.43663,0.000305478,0.000305478,0.000305478
167,245.842,1.70952,0.77148,1.17402,0.78149,0.81406,0.83138,0.3685,1.96648,0.77479,1.42699,0.000297226,0.000297226,0.000297226
168,247.296,1.67427,0.74113,1.15691,0.78806,0.81411,0.84403,0.37828,1.9414,0.77594,1.40385,0.000288974,0.000288974,0.000288974
169,248.743,1.72217,0.7778,1.16501,0.83091,0.76977,0.85971,0.37818,1.977,0.788,1.42193,0.000280723,0.000280723,0.000280723
170,250.199,1.73481,0.76993,1.1802,0.85101,0.83096,0.87257,0.38472,1.9267,0.76115,1.3967,0.000272471,0.000272471,0.000272471
171,251.667,1.70293,0.75776,1.14524,0.82597,0.85466,0.86094,0.36776,1.95818,0.77907,1.40957,0.00026422,0.00026422,0.00026422
172,253.113,1.71318,0.77626,1.16982,0.83174,0.85429,0.86284,0.38422,1.94487,0.76988,1.40543,0.000255968,0.000255968,0.000255968
173,254.551,1.69971,0.76856,1.16863,0.87215,0.82374,0.86156,0.38588,1.94775,0.76738,1.40441,0.000247716,0.000247716,0.000247716
174,255.994,1.67148,0.75497,1.14306,0.78314,0.86525,0.86136,0.38411,1.95626,0.77817,1.4086,0.000239465,0.000239465,0.000239465
175,257.447,1.70044,0.76053,1.17332,0.86698,0.78515,0.85124,0.38778,1.93344,0.76763,1.40399,0.000231213,0.000231213,0.000231213
176,258.889,1.70418,0.76311,1.14899,0.84877,0.8023,0.84901,0.37009,1.94388,0.77866,1.41004,0.000222961,0.000222961,0.000222961
177,260.336,1.71328,0.75774,1.15117,0.84828,0.7797,0.84651,0.37199,1.93308,0.76802,1.40188,0.00021471,0.00021471,0.00021471
178,261.774,1.69666,0.76276,1.17706,0.79739,0.81117,0.83942,0.37245,1.96171,0.78508,1.41423,0.000206458,0.000206458,0.000206458
179,263.217,1.68998,0.75904,1.17369,0.80653,0.84954,0.83551,0.3644,1.93854,0.77375,1.39851,0.000198206,0.000198206,0.000198206
180,264.66,1.69156,0.76083,1.16341,0.75268,0.86228,0.8186,0.35999,2.00127,0.79005,1.43467,0.000189955,0.000189955,0.000189955
