epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,4940.65,1.57581,2.04419,0.79043,0.7542,0.66289,0.6874,0.37482,1.37624,1.82111,0.80556,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,4986.53,1.57995,2.04859,0.79115,0.75539,0.65951,0.68702,0.37506,1.37576,1.82155,0.80556,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,5032.7,1.57773,2.04231,0.79193,0.75474,0.66042,0.68615,0.37492,1.37641,1.82133,0.80568,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,5078.61,1.58227,2.04454,0.79233,0.75145,0.66314,0.68604,0.37476,1.37623,1.82025,0.80567,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,5124.5,1.59348,2.05542,0.78993,0.75188,0.66271,0.68526,0.37445,1.37598,1.82079,0.80574,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,5170.4,1.57999,2.05131,0.79081,0.75178,0.66456,0.68597,0.37461,1.37524,1.82042,0.80562,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,5216.17,1.56188,2.02019,0.79183,0.7522,0.66494,0.68668,0.37537,1.37463,1.81914,0.80546,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,5262.03,1.57855,2.04125,0.79082,0.75391,0.66388,0.68792,0.37538,1.37428,1.8182,0.80533,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,5307.95,1.56758,2.0247,0.79308,0.75078,0.66568,0.68886,0.37628,1.37414,1.81723,0.80534,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,5353.77,1.5739,2.03547,0.79374,0.75114,0.66545,0.68919,0.37678,1.37365,1.81659,0.80525,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,5399.66,1.56685,2.02201,0.79027,0.75749,0.66198,0.69048,0.37743,1.37319,1.81515,0.80515,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,5445.56,1.57364,2.0305,0.78903,0.75731,0.66138,0.69004,0.37761,1.37351,1.81488,0.80518,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,5491.42,1.56925,2.02934,0.79104,0.7569,0.66041,0.69014,0.37761,1.37344,1.81415,0.80513,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,5537.36,1.57249,2.01904,0.78954,0.75442,0.66555,0.68938,0.37762,1.37308,1.81465,0.80501,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,5583.29,1.57279,2.01922,0.78811,0.75273,0.66684,0.68999,0.37758,1.3725,1.81445,0.80498,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,5629.19,1.57132,2.02417,0.79056,0.75088,0.66766,0.68971,0.37738,1.37191,1.81432,0.80491,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,5675.08,1.57039,2.02155,0.79103,0.75333,0.66696,0.69072,0.37753,1.37158,1.81389,0.80491,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,5721.03,1.57557,2.02147,0.78961,0.75549,0.66518,0.69082,0.37745,1.37132,1.81276,0.80491,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,5767.11,1.56217,2.00919,0.78899,0.7528,0.66656,0.69004,0.37738,1.37107,1.81263,0.80485,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,5812.98,1.57224,2.02783,0.79006,0.75338,0.66604,0.69049,0.37766,1.37069,1.81243,0.80473,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,5858.86,1.56525,2.01296,0.78909,0.7578,0.66373,0.69031,0.37751,1.37046,1.81126,0.80472,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,5904.71,1.56959,2.02467,0.78958,0.75722,0.66447,0.69028,0.3773,1.37053,1.8118,0.80468,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
